import time: self [us] | cumulative | imported package
import time:       102 |        329 |     django.core.management.color
import time:       541 |      20144 |   django.core.management.base
import time:       541 |      86248 | django.core.management
import time:       164 |        164 |   urllib
import time:       883 |        883 |   ipaddress
import time:       743 |       1789 | urllib.parse
import time:       739 |        739 |     dotenv.parser
import time:       363 |        363 |     dotenv.variables
import time:       543 |       1645 |   dotenv.main
import time:       314 |       1959 | dotenv
import time:       528 |        528 |         http
import time:      1126 |       1126 |         http.cookies
import time:       301 |       1954 |       django.http.cookie
import time:       673 |        673 |                 _json
import time:       276 |        949 |               json.scanner
import time:      1265 |       2214 |             json.decoder
import time:       350 |        350 |             json.encoder
import time:       223 |       2786 |           json
import time:       228 |        228 |             hmac
import time:       158 |        158 |             secrets
import time:       287 |        287 |             django.utils.encoding
import time:       185 |        857 |           django.utils.crypto
import time:       271 |       3913 |         django.core.signing
import time:        77 |         77 |             django.core.files.temp
import time:       132 |        209 |           django.core.files.uploadedfile
import time:       157 |        365 |         django.core.files.uploadhandler
import time:       855 |        855 |             html.entities
import time:       269 |       1124 |           html
import time:       343 |        343 |           django.utils.datastructures
import time:       571 |        571 |             unicodedata
import time:       203 |        203 |               email
import time:       335 |        335 |               email._parseaddr
import time:       559 |       1097 |             email.utils
import time:       250 |       1917 |           django.utils.http
import time:       324 |       3706 |         django.http.multipartparser
import time:       523 |       8506 |       django.http.request
import time:        28 |         28 |           _winapi
import time:        25 |         25 |           winreg
import time:       333 |        386 |         mimetypes
import time:       255 |        255 |           email.quoprimime
import time:       160 |        160 |           email.base64mime
import time:       369 |        369 |           email.errors
import time:       192 |        192 |               quopri
import time:       158 |        350 |             email.encoders
import time:       289 |        638 |           email.charset
import time:       441 |       1861 |         email.header
import time:       291 |        291 |               email._policybase
import time:       418 |        708 |             email.feedparser
import time:       228 |        936 |           email.parser
import time:       239 |        239 |             email._encoded_words
import time:       164 |        164 |             email.iterators
import time:       260 |        662 |           email.message
import time:       644 |       2241 |         http.client
import time:       179 |        179 |                   django.db.models.utils
import time:       386 |        565 |                 django.db.models.signals
import time:       714 |        714 |                       _uuid
import time:       385 |       1099 |                     uuid
import time:       313 |        313 |                                         django.template.context
import time:       888 |        888 |                                             calendar
import time:       121 |        121 |                                             django.utils.dates
import time:       430 |        430 |                                                   sysconfig
import time:       463 |        463 |                                                   _sysconfigdata__darwin_darwin
import time:       291 |        291 |                                                   _osx_support
import time:       669 |       1852 |                                                 zoneinfo._tzpath
import time:       262 |        262 |                                                 zoneinfo._common
import time:       600 |        600 |                                                 _zoneinfo
import time:       291 |       3004 |                                               zoneinfo
import time:       261 |       3264 |                                             django.utils.timezone
import time:       597 |       4868 |                                           django.utils.dateformat
import time:        94 |         94 |                                           django.utils.numberformat
import time:       294 |       5255 |                                         django.utils.formats
import time:       363 |        363 |                                             _markupbase
import time:       792 |       1155 |                                           html.parser
import time:        81 |         81 |                                             django.utils.deconstruct
import time:        87 |         87 |                                             django.utils.ipv6
import time:      1926 |       2092 |                                           django.core.validators
import time:       352 |        352 |                                             gzip
import time:       608 |        960 |                                           django.utils.text
import time:       437 |       4643 |                                         django.utils.html
import time:       114 |        114 |                                         django.template.exceptions
import time:       729 |      11052 |                                       django.template.base
import time:       334 |        334 |                                       django.template.library
import time:       556 |      11942 |                                     django.template.engine
import time:       309 |        309 |                                     django.template.utils
import time:        71 |         71 |                                         django.template.backends
import time:        79 |         79 |                                           django.utils._os
import time:        91 |        170 |                                         django.template.backends.base
import time:       386 |        626 |                                       django.template.backends.django
import time:       152 |        777 |                                     django.template.autoreload
import time:       233 |      13260 |                                   django.template
import time:         9 |      13269 |                                 django.template.backends
import time:       123 |      13391 |                               django.template.backends.django
import time:        85 |         85 |                               django.template.loader
import time:       231 |      13706 |                             django.forms.renderers
import time:       271 |      13976 |                           django.forms.utils
import time:       238 |        238 |                             graphlib
import time:       181 |        181 |                               django.templatetags
import time:       355 |        536 |                             django.templatetags.static
import time:       193 |        193 |                             django.utils.choices
import time:       626 |       1592 |                           django.forms.widgets
import time:       303 |      15871 |                         django.forms.boundfield
import time:       248 |        248 |                           django.utils.dateparse
import time:        77 |         77 |                           django.utils.duration
import time:       820 |       1144 |                         django.forms.fields
import time:       292 |        292 |                         django.forms.forms
import time:       420 |        420 |                         django.forms.formsets
import time:       502 |        502 |                         django.forms.models
import time:       112 |      18338 |                       django.forms
import time:       139 |        139 |                       django.db.models.constants
import time:       373 |        373 |                         django.db.transaction
import time:       108 |        108 |                         django.utils.tree
import time:       415 |        895 |                       django.db.models.query_utils
import time:       949 |      20319 |                     django.db.models.fields
import time:       462 |        462 |                     django.db.models.enums
import time:      1088 |      22967 |                   django.db.models.expressions
import time:       553 |        553 |                     django.db.models.functions.comparison
import time:        77 |         77 |                             django.db.backends
import time:       223 |        299 |                           django.db.backends.base
import time:       186 |        186 |                               sqlparse.tokens
import time:       354 |        354 |                               sqlparse.utils
import time:       662 |       1202 |                             sqlparse.sql
import time:       565 |        565 |                               sqlparse.exceptions
import time:       269 |        833 |                             sqlparse.cli
import time:       929 |        929 |                               sqlparse.engine.grouping
import time:       450 |        450 |                                   sqlparse.keywords
import time:       241 |        690 |                                 sqlparse.lexer
import time:       122 |        122 |                                 sqlparse.engine.statement_splitter
import time:       306 |        306 |                                   sqlparse.filters.others
import time:       111 |        111 |                                   sqlparse.filters.output
import time:       113 |        113 |                                   sqlparse.filters.tokens
import time:       250 |        250 |                                   sqlparse.filters.reindent
import time:       235 |        235 |                                   sqlparse.filters.right_margin
import time:       114 |        114 |                                   sqlparse.filters.aligned_indent
import time:       117 |       1242 |                                 sqlparse.filters
import time:       117 |       2171 |                               sqlparse.engine.filter_stack
import time:       176 |       3275 |                             sqlparse.engine
import time:       138 |        138 |                             sqlparse.formatter
import time:       326 |       5772 |                           sqlparse
import time:       487 |       6557 |                         django.db.backends.base.operations
import time:       855 |       7412 |                       django.db.models.lookups
import time:       491 |       7903 |                     django.db.models.functions.datetime
import time:       191 |        191 |                         django.db.models.fields.mixins
import time:       749 |        940 |                       django.db.models.fields.json
import time:       275 |       1214 |                     django.db.models.functions.json
import time:       215 |        215 |                       django.db.models.functions.mixins
import time:       423 |        638 |                     django.db.models.functions.math
import time:       509 |        509 |                     django.db.models.functions.text
import time:       328 |        328 |                     django.db.models.functions.window
import time:       283 |      11425 |                   django.db.models.functions
import time:       819 |      35210 |                 django.db.models.aggregates
import time:       439 |        439 |                     django.db.backends.utils
import time:       203 |        203 |                         django.db.models.sql.constants
import time:       248 |        248 |                         django.db.models.sql.datastructures
import time:       240 |        240 |                         django.db.models.sql.where
import time:       832 |       1521 |                       django.db.models.sql.query
import time:       258 |        258 |                       django.db.models.sql.subqueries
import time:       191 |       1970 |                     django.db.models.sql
import time:       250 |       2658 |                   django.db.models.indexes
import time:       415 |       3073 |                 django.db.models.constraints
import time:       288 |        288 |                 django.db.models.deletion
import time:       330 |        330 |                   django.db.models.fields.tuple_lookups
import time:       266 |        596 |                 django.db.models.fields.composite
import time:       168 |        168 |                   django.core.files.images
import time:       883 |        883 |                     django.core.files.storage.base
import time:        74 |         74 |                       django.core.files.storage.mixins
import time:       251 |        324 |                     django.core.files.storage.filesystem
import time:        86 |         86 |                     django.core.files.storage.handler
import time:       413 |        413 |                     django.core.files.storage.memory
import time:       192 |       1896 |                   django.core.files.storage
import time:       302 |       2364 |                 django.db.models.fields.files
import time:       215 |        215 |                 django.db.models.fields.generated
